id,user_id,user_login,user_name,license,image_url
2618132,1115,jon_sullivan,Jon Sullivan,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/2929318/medium.jpg
2626110,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/2941020/medium.JPG
3395456,58340,joepb,Joe Potter Butler,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/3927924/medium.JPG
4781236,16490,tony_wills,Tony Wills,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/5825091/medium.jpeg
4982707,16490,tony_wills,Tony Wills,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/6085427/medium.jpeg
5095352,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/6261276/medium.jpeg
5182045,16490,tony_wills,Tony Wills,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/6392278/medium.jpeg
6491658,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/8213578/medium.jpeg
8044162,1115,jon_sullivan,Jon Sullivan,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/10654049/medium.jpg
9253124,686442,shaun_thompson,Shaun,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/12529212/medium.jpg
9573285,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/13069440/medium.jpeg
9617950,318550,leafveiled,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/13127124/medium.jpg
9618127,318550,leafveiled,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/13127535/medium.jpg
9690895,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/13250522/medium.jpeg
9865517,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/13517154/medium.jpeg
9866171,58314,jacqui-nz,Jacqui Geux,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/13518153/medium.jpeg
12346248,58314,jacqui-nz,Jacqui Geux,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/17778824/medium.jpeg
14847040,58205,jefffryett,Jeff Fryett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/22163605/medium.jpeg
14869487,59241,arnim,Arnim Littek,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/22198191/medium.jpeg
15862429,58314,jacqui-nz,Jacqui Geux,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/23715383/medium.jpeg
15868045,686442,shaun_thompson,Shaun,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/23726075/medium.jpg
17898635,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/27333906/medium.jpeg
17954065,57661,pjd1,Peter de Lange,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/27436022/medium.jpg
19382280,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/29792813/medium.jpeg
19382457,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/29792885/medium.jpeg
19410533,57805,shaun-lee,Shaun Lee,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/29852902/medium.jpg
19434455,686442,shaun_thompson,Shaun,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/29897547/medium.jpeg
19581801,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/30144138/medium.jpeg
19725788,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/30390596/medium.jpeg
19726326,59241,arnim,Arnim Littek,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/30392481/medium.jpeg
20172457,59241,arnim,Arnim Littek,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/31125375/medium.jpeg
20887868,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/32229442/medium.jpeg
20936435,58645,naturewatchwidow,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/32317294/medium.jpeg
21279004,1491090,yukkiqiu,Yukki Qiu,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/32901929/medium.jpg
29692449,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/46352072/medium.jpeg
30778952,274345,amybalkin,Amy Balkin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/48105888/medium.jpg
30779113,274345,amybalkin,Amy Balkin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/48107047/medium.jpg
34089007,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/53553156/medium.jpeg
36791847,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/58215962/medium.jpeg
36950948,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/58494397/medium.jpg
37421936,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/59322279/medium.jpeg
37806546,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/60009278/medium.jpg
39418939,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/62534520/medium.jpeg
39422293,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/62540843/medium.jpeg
39422317,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/62541029/medium.jpeg
39603484,147259,fuligogirl,Liadan Dickie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/62847512/medium.jpg
39721142,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/63045074/medium.jpg
39721147,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/63045326/medium.jpg
39721154,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/63045489/medium.jpg
40170404,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/63808285/medium.jpeg
41341678,58314,jacqui-nz,Jacqui Geux,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/65574970/medium.jpeg
41518474,59241,arnim,Arnim Littek,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/65871100/medium.jpeg
42825982,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/68011649/medium.jpg
43548979,59241,arnim,Arnim Littek,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/69094715/medium.jpeg
47936746,359014,bylsand,Brett Sandford,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/76043204/medium.jpeg
50226207,57661,pjd1,Peter de Lange,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/79758471/medium.jpg
56722660,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/90411782/medium.jpeg
56723159,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/90414396/medium.jpeg
58682223,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/93701273/medium.jpeg
60138992,274345,amybalkin,Amy Balkin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/96138921/medium.jpg
60139121,274345,amybalkin,Amy Balkin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/96139261/medium.jpg
61847376,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/99017595/medium.jpeg
61892117,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/99093608/medium.jpeg
61895677,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/99096681/medium.jpeg
62014122,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/99306619/medium.jpeg
63618030,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/102131938/medium.jpeg
63618521,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/102132138/medium.jpeg
63853291,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/102551378/medium.jpeg
64875105,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/104366605/medium.jpeg
65003119,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/104586712/medium.jpeg
65106037,274345,amybalkin,Amy Balkin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/104752040/medium.jpg
65712209,274345,amybalkin,Amy Balkin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/105810191/medium.jpg
66128969,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/106533758/medium.jpeg
66598934,58217,katiew,Kathy Warburton,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/107397840/medium.jpeg
66754213,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/107682988/medium.jpeg
67112596,439928,bihnz,BIHNZ,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/108348730/medium.jpg
68069329,318550,leafveiled,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/110132390/medium.jpg
68377224,57805,shaun-lee,Shaun Lee,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/110701180/medium.jpg
68536822,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/111000524/medium.jpeg
68585549,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/111094030/medium.jpeg
68585777,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/111094736/medium.jpeg
68654665,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/111224565/medium.jpeg
68993453,1178404,wild_wind,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/111852316/medium.jpeg
71412877,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/116266411/medium.jpeg
71472553,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/116371432/medium.jpg
75009065,2779765,eyrezer,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/122664942/medium.jpg
75153838,57870,nick_goldwater,nick_goldwater,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/122916394/medium.jpg
75496196,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/123500062/medium.jpeg
75757023,1252857,jennysaito,Jenny Saito,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/123974517/medium.jpeg
77413376,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/126601734/medium.jpeg
79208876,58314,jacqui-nz,Jacqui Geux,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/129715514/medium.jpeg
86357539,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/142252024/medium.jpeg
89150322,2779765,eyrezer,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/147188097/medium.jpg
89151320,2779765,eyrezer,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/147190415/medium.jpg
89151344,2779765,eyrezer,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/147190478/medium.jpg
89151403,2779765,eyrezer,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/147190524/medium.jpg
89151470,2779765,eyrezer,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/147190716/medium.jpg
89151632,2779765,eyrezer,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/147190971/medium.jpg
89151813,2779765,eyrezer,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/147191137/medium.jpg
97380615,4733620,oscar_dove,Oscar Dove,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/161943570/medium.jpeg
98162411,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/163378567/medium.jpeg
102504669,218732,catchwords,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/171366526/medium.jpg
103653692,64694,barrie,Barrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/173548917/medium.jpeg
105580258,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/177176398/medium.jpeg
105735301,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/177475268/medium.gif
105943248,2779765,eyrezer,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/177876608/medium.jpg
107234156,1264951,dougalm,Doug Miller,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/180314923/medium.jpg
107622341,1264951,dougalm,Doug Miller,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/181045722/medium.jpg
113638162,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/191974198/medium.jpeg
113639558,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/191977222/medium.jpeg
117222839,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/197932684/medium.jpeg
117270851,1252857,jennysaito,Jenny Saito,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/198034940/medium.jpeg
140957083,16490,tony_wills,Tony Wills,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/241369812/medium.jpeg
142261068,1513074,richardlitt,Richard Littauer,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/243866821/medium.jpg
142409346,1513074,richardlitt,Richard Littauer,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/244140016/medium.jpg
142729284,2077401,genevieveearly,Genevieve Early,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/244752895/medium.jpeg
143377230,1513074,richardlitt,Richard Littauer,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/245880677/medium.jpg
144626127,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/248263073/medium.jpeg
144901703,4701131,anna_l1,Anna L,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/248804916/medium.jpeg
145648527,6305922,berardom,Michael Berardozzi,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/250222121/medium.jpg
145910505,4733620,oscar_dove,Oscar Dove,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/250733065/medium.jpeg
146022510,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/250952245/medium.jpeg
146022518,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/250953428/medium.jpeg
146023196,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/250954514/medium.jpeg
146388240,2077401,genevieveearly,Genevieve Early,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/251670383/medium.jpeg
147320962,1252857,jennysaito,Jenny Saito,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/253481433/medium.jpeg
151999628,57516,ecoman,Mike Bowie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/262345493/medium.jpeg
157927135,58979,kiwialli,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/273000803/medium.jpeg
158404035,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/273764144/medium.jpeg
158454933,686442,shaun_thompson,Shaun,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/273850866/medium.jpeg
159034189,16490,tony_wills,Tony Wills,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/274762170/medium.jpeg
182149374,57805,shaun-lee,Shaun Lee,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/317537951/medium.jpg
186970786,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/326867082/medium.jpeg
191905744,1033331,kim215,Kim Nesbitt,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/336776307/medium.jpg
193743367,483413,eamonrs,Eamon Riordan-Short,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/340374506/medium.jpg
194005255,6321,rdmpage,Roderic Page,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/340905593/medium.jpg
195434235,57805,shaun-lee,Shaun Lee,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/343815893/medium.jpg
195827383,1252857,jennysaito,Jenny Saito,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/344613111/medium.jpeg
195827442,1252857,jennysaito,Jenny Saito,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/344613156/medium.jpeg
196307974,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/345572474/medium.jpeg
196308000,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/345575148/medium.jpeg
209395870,57565,diane-nz,Diane Sullivan,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/370564388/medium.jpg
211426190,773820,kelvinperrie,Kelvin Perrie,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/373802007/medium.jpeg
211926325,3910880,jupal04,Julia Palmer,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/374568523/medium.jpeg
212181737,3910880,jupal04,Julia Palmer,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/374974668/medium.jpg
212181751,3910880,jupal04,Julia Palmer,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/374974709/medium.jpg
224857364,58645,naturewatchwidow,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/398585836/medium.jpeg
235975553,1513074,richardlitt,Richard Littauer,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/419746230/medium.jpeg
248822516,2730732,harrylurling,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/444676309/medium.jpeg
252236419,2077401,genevieveearly,Genevieve Early,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/451496497/medium.jpeg
254475114,883012,predomalpha,Javier,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/455818049/medium.jpeg
256054089,57805,shaun-lee,Shaun Lee,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/458993741/medium.jpg
256589541,59227,lisa_bennett,Lisa Bennett,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/460091150/medium.jpg
257765390,318550,leafveiled,,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/462449604/medium.jpeg
